orderID,candidate_address,score,explanation
4762597,930 Amberdale Cres,3.9822280406951904,same property type = matched; effective age diff impact = 1.10; abs room count diff impact = 1.05
4762597,771 Ashwood Dr,3.5355801582336426,same property type = matched; abs room count diff impact = 1.01; effective age diff impact = 1.00
4762597,995 Amberdale Cres,3.359933853149414,same property type = matched; abs room count diff impact = 1.02; effective age diff impact = 0.96
4762739,270 Quinlan Dr,3.9926230907440186,same property type = matched; abs room count diff impact = 1.09; effective age diff impact = 1.02
4762739,85 Oceanic Dr,3.958026647567749,same property type = matched; abs subject age diff impact = 1.15; abs room count diff impact = 1.10
4762739,64 Deermist Dr,3.883307695388794,same property type = matched; abs room count diff impact = 1.11; abs subject age diff impact = 1.02
4763065,3219 Roseville Rd,1.788640022277832,same property type = matched; abs room count diff impact = 0.74; room count diff impact = 0.68
4763065,13 James Crt,1.3412220478057861,same property type = matched; subject age diff impact = 0.78; abs subject age diff impact = 0.78
4763065,6 Marshall Ave,0.9257988929748535,effective age diff impact = 1.34; same property type = matched; room count diff impact = 0.70
4763086,36 Stonewalk Dr,2.513824462890625,same property type = matched; abs subject age diff impact = 0.88; abs room count diff impact = 0.83
4763086,56 Stonewalk Dr,2.0429322719573975,effective age diff impact = 1.93; same property type = matched; gla diff impact = 0.76
4763086,339 Pinehill Rd,0.8520745635032654,same property type = matched; abs room count diff impact = 0.62; gla diff impact = 0.50
4763087,313-79 Bedros Lane,3.5852136611938477,same property type = matched; effective age diff impact = 0.91; abs room count diff impact = 0.85
4763087,210-40 Regency Park Dr,3.3456952571868896,same property type = matched; effective age diff impact = 0.99; gla diff impact = 0.79
4763087,Unit 503 78 Regency Park Drive,2.9208269119262695,same property type = matched; effective age diff impact = 0.76; abs room count diff impact = 0.73
4763606,1-150 Broadway,1.8208467960357666,abs bath score diff impact = 1.40; same property type = matched; abs gla diff impact = 1.01
4763606,21-4552 Portage Rd,1.6704444885253906,same property type = matched; abs bath score diff impact = 1.24; half baths diff impact = 1.01
4763606,14-96 Welland Rd,1.4397238492965698,abs bath score diff impact = 1.38; same property type = matched; abs gla diff impact = 0.93
4763898,13 Chestnut Lane,4.124600887298584,same property type = matched; abs room count diff impact = 1.06; effective age diff impact = 1.06
4763898,9 Chittick Ave,3.621666431427002,same property type = matched; effective age diff impact = 1.42; subject age diff impact = 0.74
4763898,27 Cranston Ave,3.4727718830108643,same property type = matched; effective age diff impact = 1.33; subject age diff impact = 0.76
4764028,2 Brigadier Pvt,1.4322947263717651,same property type = matched; effective age diff impact = 1.01; abs room count diff impact = 0.64
4764028,366 Bruyère St,1.3043216466903687,same property type = matched; effective age diff impact = 1.27; abs gla diff impact = 0.49
4764028,383 Daly Ave,1.293800950050354,effective age diff impact = 1.45; same property type = matched; gla diff impact = 0.50
4764094,38 Deerbrooke Dr,3.955845355987549,same property type = matched; effective age diff impact = 1.22; abs room count diff impact = 1.08
4764094,18 Becks Way,3.6074953079223633,same property type = matched; abs room count diff impact = 0.98; gla diff impact = 0.77
4764094,123 Crestwood Pl,2.5720691680908203,same property type = matched; abs room count diff impact = 0.89; gla diff impact = 0.84
4764103,138 Banff Rd,1.5522140264511108,same property type = matched; effective age diff impact = 0.93; sold recently impact = 0.89
4764103,142 Donlea Dr,1.1815052032470703,same property type = matched; effective age diff impact = 1.03; subject age diff impact = 0.65
4764103,128 Donegall Dr,0.8464815616607666,effective age diff impact = 1.62; same property type = matched; subject age diff impact = 0.59
4765154,768 Cataraqui Woods Dr,0.8244869709014893,same property type = matched; abs subject age diff impact = 0.95; effective age diff impact = 0.81
4765154,1131 Wintergreen Cres,0.6875908970832825,same property type = matched; abs subject age diff impact = 0.92; effective age diff impact = 0.89
4765154,829 Larchwood Cres,0.3486097753047943,same property type = matched; abs subject age diff impact = 0.90; effective age diff impact = 0.82
4765502,6673 Riverview Line,0.32295989990234375,effective age diff impact = 1.22; same property type = matched; subject age diff impact = 0.71
4765502,6129 Seventh Line W,0.11311396211385727,same property type = matched; effective age diff impact = 0.88; abs gla diff impact = 0.70
4765502,23805 Merlin Rd,-0.8196666240692139,effective age diff impact = 0.98; same property type = matched; subject age diff impact = 0.53
4765899,67 Schooner Dr,0.5947292447090149,same property type = matched; effective age diff impact = 0.95; abs bath score diff impact = 0.51
4765899,63 Schooner Dr,0.5169011950492859,same property type = matched; effective age diff impact = 1.02; lot size sf diff impact = 0.52
4765899,469 Freeman Cres,-1.2763193845748901,same property type = matched; effective age diff impact = 0.86; abs effective age diff impact = 0.35
4765948,1-21 Cherry St,1.5271762609481812,effective age diff impact = 1.50; same property type = matched; room count diff impact = 0.57
4765948,46 York St,1.0758904218673706,subject age diff impact = 1.45; bath score diff impact = 1.41; bedrooms diff impact = 0.76
4765948,275 Division St,1.0680079460144043,effective age diff impact = 1.84; bath score diff impact = 1.55; subject age diff impact = 0.67
4766326,816 Dickens Ave,1.7785621881484985,same property type = matched; effective age diff impact = 1.04; abs room count diff impact = 0.74
4766326,1035 Connery Ave,1.4569487571716309,same property type = matched; abs subject age diff impact = 0.91; effective age diff impact = 0.86
4766326,826 Hamlet Rd,0.8729897737503052,same property type = matched; effective age diff impact = 1.12; abs subject age diff impact = 0.63
4766430,238 Willett St,3.9383487701416016,same property type = matched; abs room count diff impact = 1.06; effective age diff impact = 0.73
4766430,92 Forestside Cres,3.7393319606781006,same property type = matched; effective age diff impact = 0.92; abs room count diff impact = 0.84
4766430,75 Forestside Cres,3.3018927574157715,same property type = matched; effective age diff impact = 0.90; abs room count diff impact = 0.87
4767066,1606-108 Waterfront Crt SW,3.2163243293762207,abs subject age diff impact = 1.76; same property type = matched; subject age diff impact = 1.00
4767066,2104-930 16 Ave SW,3.2163243293762207,abs subject age diff impact = 1.89; same property type = matched; subject age diff impact = 1.04
4767066,1112-730 2 Ave SW,3.2077760696411133,abs subject age diff impact = 1.71; same property type = matched; abs room count diff impact = 0.97
4768014,328 Appalachian Cir,2.7114551067352295,same property type = matched; gla diff impact = 0.80; abs room count diff impact = 0.78
4768014,2402 Regatta Ave,2.5958173274993896,same property type = matched; effective age diff impact = 0.76; gla diff impact = 0.74
4768014,111 Damselfly Way,2.047581434249878,same property type = matched; abs subject age diff impact = 0.79; gla diff impact = 0.78
4768037,226 Kent St,1.2393990755081177,effective age diff impact = 1.44; same property type = matched; subject age diff impact = 0.73
4768037,168 Windsor St,1.2305570840835571,same property type = matched; room count diff impact = 0.86; effective age diff impact = 0.85
4768037,1105 Haist Street,-0.4072491228580475,same property type = matched; effective age diff impact = 1.05; room count diff impact = 0.51
4768126,550 Paine Ave,3.7034881114959717,same property type = matched; abs room count diff impact = 1.00; effective age diff impact = 0.82
4768126,164 Calvington Ave,2.4019875526428223,same property type = matched; abs room count diff impact = 0.95; gla diff impact = 0.82
4768126,524 Paine Ave,1.4338492155075073,same property type = matched; effective age diff impact = 0.85; gla diff impact = 0.83
4768528,965 Linaria Walk,1.942787766456604,same property type = matched; half baths diff impact = 1.08; abs bath score diff impact = 1.06
4768528,2282 Descartes St,1.7877095937728882,same property type = matched; abs bath score diff impact = 1.13; half baths diff impact = 1.09
4768528,958 Socca Cres,1.5173829793930054,same property type = matched; abs bath score diff impact = 1.12; half baths diff impact = 0.79
4769110,3882 Novalea Dr,3.730093002319336,same property type = matched; effective age diff impact = 1.20; abs room count diff impact = 0.86
4769110,5617 Carriageway Cres,3.5072195529937744,same property type = matched; abs room count diff impact = 0.99; effective age diff impact = 0.76
4769110,3518 John Parr Dr,3.21158504486084,same property type = matched; effective age diff impact = 1.27; abs room count diff impact = 0.86
4769269,84343 Kent Line,2.985048294067383,same property type = matched; abs subject age diff impact = 0.88; abs room count diff impact = 0.82
4769269,253 Queen Street,0.8338323831558228,same property type = matched; effective age diff impact = 1.08; room count diff impact = 0.55
4769269,234 Henry Street,0.4044593870639801,abs gla diff impact = 2.36; same property type = matched; effective age diff impact = -0.51
4770115,116 Blackhorse Dr,2.324237108230591,same property type = matched; abs subject age diff impact = 1.02; sold recently impact = 1.00
4770115,189 Blackhorse Dr,2.0311665534973145,same property type = matched; abs subject age diff impact = 0.78; abs room count diff impact = 0.77
4770115,13 Tilly Lane,1.6827995777130127,same property type = matched; abs subject age diff impact = 1.06; abs room count diff impact = 0.81
4770310,261 Arthur St,1.7261637449264526,effective age diff impact = 2.12; same property type = matched; subject age diff impact = 0.79
4770310,260 John St,1.7019745111465454,effective age diff impact = 2.43; same property type = matched; subject age diff impact = 0.92
4770310,198 South St,1.107684850692749,effective age diff impact = 2.29; same property type = matched; subject age diff impact = 0.87
4771029,63 Martinview Cres NE,3.01558518409729,same property type = matched; effective age diff impact = 1.48; sold recently impact = 0.75
4771029,133 Saddlelake Grove NE,2.2424278259277344,same property type = matched; gla diff impact = 0.75; effective age diff impact = 0.75
4771029,286 Taravista Dr NE,1.8239308595657349,same property type = matched; effective age diff impact = 1.11; gla diff impact = 0.61
4771097,202-550 Talbot Pl,4.320362091064453,same property type = matched; effective age diff impact = 1.05; abs room count diff impact = 1.04
4771097,305-540 Talbot Pl,3.8220276832580566,same property type = matched; abs room count diff impact = 1.02; effective age diff impact = 0.83
4771097,404-610 William St S,1.208663821220398,same property type = matched; effective age diff impact = 0.99; abs room count diff impact = 0.58
4771641,1134 Alpine Ave SW,3.497875928878784,same property type = matched; effective age diff impact = 1.00; abs subject age diff impact = 0.97
4771641,116 Ambleside Cres NW,3.3603053092956543,same property type = matched; abs subject age diff impact = 1.19; abs room count diff impact = 1.01
4771641,140 Carringford View NW,2.512052536010742,same property type = matched; abs room count diff impact = 0.80; effective age diff impact = 0.79
4772017,6248 Taralea Pk NE,3.948477268218994,same property type = matched; effective age diff impact = 0.94; abs room count diff impact = 0.86
4772017,232 Taracove Rd NE,3.7157373428344727,same property type = matched; abs room count diff impact = 0.91; effective age diff impact = 0.84
4772017,39 Saddlemont Way NE,2.663957118988037,same property type = matched; effective age diff impact = 0.78; abs room count diff impact = 0.73
4772152,193 Hidden Ranch Hill NW,3.281583070755005,same property type = matched; abs subject age diff impact = 1.07; effective age diff impact = 1.04
4772152,10673 Hidden Valley Dr NW,3.222341537475586,same property type = matched; abs subject age diff impact = 0.90; effective age diff impact = 0.85
4772152,130 Hidden Ranch Rd NW,3.0996899604797363,same property type = matched; abs subject age diff impact = 0.87; effective age diff impact = 0.82
4773295,12017 Station Rd,0.5829604864120483,same property type = matched; abs subject age diff impact = 0.77; subject age diff impact = 0.70
4773295,1584 North Shore Dr,0.43365657329559326,same property type = matched; effective age diff impact = 1.06; abs lot size sf diff impact = 0.61
4773295,40 Erie Heights Line,-0.7435457110404968,same property type = matched; effective age diff impact = 1.02; room count diff impact = -0.71
4773534,54025 Wellandport Rd,1.473469853401184,same property type = matched; effective age diff impact = 1.23; gla diff impact = 0.78
4773534,1376 Bird Road,0.37747126817703247,same property type = matched; effective age diff impact = 0.60; gla diff impact = -0.53
4773534,4 Philips Court,0.36649447679519653,same property type = matched; room count diff impact = 0.67; subject age diff impact = 0.64
4773833,737 Concession Rd 2,0.6165745854377747,same property type = matched; effective age diff impact = 0.91; subject age diff impact = 0.88
4773833,6040 Middle Side Rd,-0.9975929856300354,same property type = matched; gla diff impact = -0.80; subject age diff impact = 0.75
4773833,7050 County Road 18,-1.148210883140564,same property type = matched; gla diff impact = -0.93; effective age diff impact = 0.60
4775247,6 McIntyre Pl,1.858141541481018,same property type = matched; abs subject age diff impact = 1.00; gla diff impact = 0.79
4775247,3 Lloyd Cres NE,1.4699732065200806,same property type = matched; effective age diff impact = 0.70; abs room count diff impact = 0.69
4775247,42 Besse Ave,0.9559736847877502,same property type = matched; abs subject age diff impact = 0.84; gla diff impact = 0.68
4775292,7167 Seventh Line,1.2804046869277954,same property type = matched; effective age diff impact = 1.11; room count diff impact = 0.64
4775292,8 Hilltop Cres,0.9998524785041809,same property type = matched; effective age diff impact = 0.94; lot size sf diff impact = 0.71
4775292,5739 Sixth Line,0.8181989789009094,same property type = matched; effective age diff impact = 1.03; subject age diff impact = 0.71
4775785,116 Dowdle Rd,1.9669677019119263,effective age diff impact = 2.54; same property type = matched; subject age diff impact = 0.80
4775785,3858 County Rd 1 E,1.711814284324646,effective age diff impact = 1.66; same property type = matched; subject age diff impact = 0.65
4775785,1977 Thorpe Road,1.3942506313323975,same property type = matched; subject age diff impact = 0.90; abs room count diff impact = 0.73
4775892,42 Sandringham Crt,4.01250696182251,same property type = matched; effective age diff impact = 1.03; abs room count diff impact = 1.03
4775892,41 Lincoln Crt,3.7385575771331787,same property type = matched; abs room count diff impact = 0.90; gla diff impact = 0.70
4775892,238 Fleetwood Cres,2.0532968044281006,same property type = matched; effective age diff impact = 1.01; abs room count diff impact = 0.88
4776066,161 Everoak Cir SW,3.7821829319000244,same property type = matched; effective age diff impact = 0.83; abs room count diff impact = 0.73
4776066,320 Everglade Cir SW,3.4417152404785156,same property type = matched; abs room count diff impact = 0.77; effective age diff impact = 0.76
4776066,278 Everoak Drive SW,2.5024209022521973,same property type = matched; effective age diff impact = 0.75; abs room count diff impact = 0.66
4776534,25 Timberline Crt SW,1.9340620040893555,abs subject age diff impact = 1.82; same property type = matched; subject age diff impact = 1.17
