orderID,candidate_address,is_comp,subject_address,bath_score_diff,full_baths_diff,half_baths_diff,room_count_diff,bedrooms_diff,effective_age_diff,subject_age_diff,lot_size_sf_diff,gla_diff,abs_bath_score_diff,abs_full_bath_diff,abs_half_bath_diff,abs_room_count_diff,abs_bedrooms_diff,abs_effective_age_diff,abs_subject_age_diff,abs_lot_size_sf_diff,abs_gla_diff,distance_to_subject_km,same_property_type,sold_recently
4758529,Unit 5503 - 11 Brunel Court ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,247 Palmerston Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-2.0,-3.0,,,,-574.0,,,,2.0,3.0,,,,574.0,,0.0,1
4758529,Unit 607 - 159 Dundas Street E ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,0.0,,,,426.0,,,,0.0,0.0,,,,426.0,,0.0,1
4758529,72 Mitchell Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-2.0,,,,-124.0,,,,1.0,2.0,,,,124.0,,0.0,1
4758529,Unit LPH5 - 775 King Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,0.0,-1.0,,,,-324.0,,,,0.0,1.0,,,,324.0,,0.0,1
4758529,Unit 1304 - 260 Queens Quay W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,326.0,,,,1.0,0.0,,,,326.0,,0.0,1
4758529,36 Bellwoods Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,-1.0,,,,276.0,,,,1.0,1.0,,,,276.0,,0.0,1
4758529,261 Palmerston Avenue ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-1.0,-3.0,,,,-574.0,,,,1.0,3.0,,,,574.0,,0.0,1
4758529,Unit 3909 - 100 Harbour Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,2.0,0.0,,,,526.0,,,,2.0,0.0,,,,526.0,,0.0,1
4758529,2 Victoria Street ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,-2.0,0.0,,,,,,,,2.0,0.0,,,,,,0.0,1
4758529,Unit 612 - 10 Capreol Court ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,-1.0,,,,-124.0,,,,1.0,1.0,,,,124.0,,0.0,1
4758529,Unit 1832 - 525 Adelaide Street W ,0,915 140 SIMCOE ST Toronto ON M5H4E9,,,,1.0,0.0,,,,526.0,,,,1.0,0.0,,,,526.0,,0.0,1
